,gene,pval,qval,log2fc,mean
43,FCHSD2,0.0,0.0,4.51657330735793,1.8762899487847198
44,ARRB1,0.0,0.0,3.074369917544859,0.11775315500194956
45,CTNNA2,5.836877167461581e-186,1.3445991162915426e-184,1.9765175275838858,2.1156304972766478
46,TMEM132C,0.0,0.0,2.2729993218821987,0.3864798380460658
47,AL356124.1,4.1453143151947615e-64,2.8124068026629415e-63,3.0741164041447817,0.01668089296219192
48,ITM2A,0.0,0.0,3.3955635994335758,0.2777283043773439
49,LAMA2,0.0,0.0,5.332119792238272,1.027627373398245
50,AC093535.1,0.00014827001905233522,0.00032295113850866496,0.7337601196442143,0.13321039694309778
51,SVEP1,0.0,0.0,2.6611630797588512,0.5123159565966973
52,STARD13-AS,1.557370166048653e-36,7.01820438400778e-36,1.0547744054394936,0.18897035851538294
53,AC138360.1,6.144010067957865e-13,1.803397824584628e-12,1.9606617490485028,0.005613910095304654
54,SLC38A1,5.557696983520463e-202,1.425989026707722e-200,1.4444858895957629,0.2822634172243307
55,AC016716.1,1.0358470125825e-31,4.3172000517849935e-31,1.7986722194339335,0.03526989214215945
56,ARHGAP24,1.807627445512916e-10,4.99631635320516e-10,1.6924797325101493,0.06769083888440475
57,GABRB1,4.078155639283129e-86,3.674293832299971e-85,2.0996358471326864,0.0874662352336013
58,ETV5,2.1950699152490988e-39,1.034593690138807e-38,0.0660110049753427,0.21410745824344696
59,PLEKHH2,0.0049854080854410225,0.009517211226588197,0.6626919484422291,0.13108702463480093
60,ROR1,0.0,0.0,3.7333647483176122,0.28128436856986394
61,CRB2,0.0,0.0,3.9938740125706316,0.10732144380310145
62,TRHDE,7.439330641129808e-141,1.2061845790992679e-139,3.8530332636708704,0.03673268587475991
63,LINC00463,2.950431339190006e-169,5.99879054886967e-168,5.123192030238007,0.027842973066543604
64,PDGFD,7.316480157680791e-69,5.280782855994573e-68,4.654789618352305,0.02121757906728749
65,LRRC7,0.0,0.0,2.5225358132438616,0.8027342553186002
66,ATRNL1,4.8651569297583335e-26,1.8408362396986298e-25,1.3454560132767788,0.06743194552217026
67,RALYL,4.2680739217690835e-41,2.061378534253335e-40,1.4841133731885512,0.09431919429997696
68,ZFPM2,5.744738317067517e-144,9.55000084454217e-143,2.5217197941538987,0.12664899747777195
69,SFRP1,0.0,0.0,3.8268788636955406,0.06538424961837486
70,FRY,0.0,0.0,4.023401532629967,0.2707432067708502
71,EGFEM1P,6.233299926612036e-153,1.1171269699142605e-151,3.3233163465899005,0.08279290271666442
72,LUZP2,4.4045345709025234e-35,1.9340967640950553e-34,0.21967120197509532,0.10032205944540148
73,CNTN1,3.255706023879831e-77,2.6154103082831398e-76,2.356237736432375,0.14596035890337877
