,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC063943.1,0,NA,NA,NA,NA,NA
RNA5SP504,0,NA,NA,NA,NA,NA
RNU4-69P,0,NA,NA,NA,NA,NA
RNU6-402P,0,NA,NA,NA,NA,NA
Y_RNA,0,NA,NA,NA,NA,NA
RN7SKP27,0,NA,NA,NA,NA,NA
RNU6-1100P,0,NA,NA,NA,NA,NA
RNU2-48P,0,NA,NA,NA,NA,NA
RNU2-37P,0,NA,NA,NA,NA,NA
RNU2-42P,0,NA,NA,NA,NA,NA
RN7SKP131,0,NA,NA,NA,NA,NA
Y_RNA,0,NA,NA,NA,NA,NA
RN7SKP182,0,NA,NA,NA,NA,NA
RN7SKP39,0,NA,NA,NA,NA,NA
RN7SKP89,0,NA,NA,NA,NA,NA
RN7SKP212,0,NA,NA,NA,NA,NA
RN7SKP91,0,NA,NA,NA,NA,NA
RNU2-38P,0,NA,NA,NA,NA,NA
RNU4-14P,0,NA,NA,NA,NA,NA
RNU6-67P,0,NA,NA,NA,NA,NA
RNU6-860P,0,NA,NA,NA,NA,NA
RNU4-83P,0,NA,NA,NA,NA,NA
RNU6-383P,0,NA,NA,NA,NA,NA
RNU2-62P,0,NA,NA,NA,NA,NA
RNA5SP225,0,NA,NA,NA,NA,NA
RNU2-68P,0,NA,NA,NA,NA,NA
RNU4-27P,0,NA,NA,NA,NA,NA
RN7SKP286,0,NA,NA,NA,NA,NA
MIR1537,0,NA,NA,NA,NA,NA
RNA5SP120,0,NA,NA,NA,NA,NA
RN7SKP121,0,NA,NA,NA,NA,NA
RNA5SP494,0,NA,NA,NA,NA,NA
Y_RNA,0,NA,NA,NA,NA,NA
RN7SKP106,0,NA,NA,NA,NA,NA
RN7SKP51,0,NA,NA,NA,NA,NA
RN7SKP38,0,NA,NA,NA,NA,NA
MIR1911,0,NA,NA,NA,NA,NA
RN7SKP188,0,NA,NA,NA,NA,NA
RNU2-7P,0,NA,NA,NA,NA,NA
RNU4-64P,0,NA,NA,NA,NA,NA
RNY4P29,0,NA,NA,NA,NA,NA
RNU4-6P,0,NA,NA,NA,NA,NA
RNA5SP328,0,NA,NA,NA,NA,NA
RNA5SP229,0,NA,NA,NA,NA,NA
RN7SKP166,0,NA,NA,NA,NA,NA
RNU4-46P,0,NA,NA,NA,NA,NA
RN7SKP206,0,NA,NA,NA,NA,NA
RNU4-53P,0,NA,NA,NA,NA,NA
RNU6-684P,0,NA,NA,NA,NA,NA
RNU2-40P,0,NA,NA,NA,NA,NA
RN7SKP222,0,NA,NA,NA,NA,NA
RNU2-66P,0,NA,NA,NA,NA,NA
RNU2-47P,0,NA,NA,NA,NA,NA
RNU6-791P,0,NA,NA,NA,NA,NA
RN7SKP281,0,NA,NA,NA,NA,NA
RNU4-65P,0,NA,NA,NA,NA,NA
RNA5SP80,0,NA,NA,NA,NA,NA
Y_RNA,0,NA,NA,NA,NA,NA
RNU2-59P,0,NA,NA,NA,NA,NA
RNA5SP274,0,NA,NA,NA,NA,NA
RNA5SP113,0,NA,NA,NA,NA,NA
RNA5SP511,0,NA,NA,NA,NA,NA
Y_RNA,0,NA,NA,NA,NA,NA
RNU2-50P,0,NA,NA,NA,NA,NA
RNA5SP338,0,NA,NA,NA,NA,NA
RNA5SP231,0,NA,NA,NA,NA,NA
Y_RNA,0,NA,NA,NA,NA,NA
RNU6-141P,0,NA,NA,NA,NA,NA
RNU6-554P,0,NA,NA,NA,NA,NA
AC073520.1,0,NA,NA,NA,NA,NA
RN7SKP229,0,NA,NA,NA,NA,NA
Y_RNA,0,NA,NA,NA,NA,NA
RNA5SP237,0,NA,NA,NA,NA,NA
RNY1P15,0,NA,NA,NA,NA,NA
RN7SKP221,0,NA,NA,NA,NA,NA
RNU2-29P,0,NA,NA,NA,NA,NA
RNU6-710P,0,NA,NA,NA,NA,NA
RNU2-20P,0,NA,NA,NA,NA,NA
RNU6-355P,0,NA,NA,NA,NA,NA
RNU6-1186P,0,NA,NA,NA,NA,NA
RNU4-34P,0,NA,NA,NA,NA,NA
SNORD12B,0,NA,NA,NA,NA,NA
SNORA36B,0,NA,NA,NA,NA,NA
RN7SKP202,0,NA,NA,NA,NA,NA
RN7SKP127,0,NA,NA,NA,NA,NA
RN7SKP152,0,NA,NA,NA,NA,NA
RN7SKP86,0,NA,NA,NA,NA,NA
Y_RNA,0,NA,NA,NA,NA,NA
RNU4ATAC2P,0,NA,NA,NA,NA,NA
RN7SKP278,0,NA,NA,NA,NA,NA
RNU2-26P,0,NA,NA,NA,NA,NA
RN7SKP223,0,NA,NA,NA,NA,NA
RN7SKP240,0,NA,NA,NA,NA,NA
RNA5SP451,0,NA,NA,NA,NA,NA
RNU6-519P,0.125416704,1.079133603,4.06730708,0.26531894,0.790763775,NA
RN7SKP109,0,NA,NA,NA,NA,NA
Y_RNA,0,NA,NA,NA,NA,NA
MIR1468,0,NA,NA,NA,NA,NA
RNU6-735P,0,NA,NA,NA,NA,NA
RNA5SP60,0,NA,NA,NA,NA,NA
RNU6-1064P,0,NA,NA,NA,NA,NA
RNU4-43P,0,NA,NA,NA,NA,NA
RNU6-1025P,0,NA,NA,NA,NA,NA
RN7SKP61,0,NA,NA,NA,NA,NA
RNA5SP345,0,NA,NA,NA,NA,NA
Y_RNA,0.208743839,1.100467557,4.070923286,0.270323826,0.786911137,NA
Y_RNA,0,NA,NA,NA,NA,NA
RNU6-1077P,0,NA,NA,NA,NA,NA
Y_RNA,0,NA,NA,NA,NA,NA
RNU4-25P,0,NA,NA,NA,NA,NA
RN7SKP56,0,NA,NA,NA,NA,NA
RN7SKP143,0,NA,NA,NA,NA,NA
RN7SKP59,0,NA,NA,NA,NA,NA
RNA5SP296,0,NA,NA,NA,NA,NA
RNU6-121P,0,NA,NA,NA,NA,NA
RNA5SP293,0,NA,NA,NA,NA,NA
AC079449.1,0,NA,NA,NA,NA,NA
RNA5SP261,0,NA,NA,NA,NA,NA
RN7SKP7,0,NA,NA,NA,NA,NA
RNU2-23P,0,NA,NA,NA,NA,NA
RNU6-77P,0,NA,NA,NA,NA,NA
SNORA79B,0,NA,NA,NA,NA,NA
RNU6-712P,0,NA,NA,NA,NA,NA
RN7SKP200,0,NA,NA,NA,NA,NA
RN7SKP177,0,NA,NA,NA,NA,NA
Y_RNA,0.340294429,1.870534362,4.03679005,0.463371723,0.643097943,NA
MIR1249,0,NA,NA,NA,NA,NA
MIR548F1,0,NA,NA,NA,NA,NA
MIR1261,0,NA,NA,NA,NA,NA
GCNT1P4,0,NA,NA,NA,NA,NA
AL451046.2,0,NA,NA,NA,NA,NA
AL590084.2,0,NA,NA,NA,NA,NA
AL356432.2,0.119120156,-0.692228862,4.070290804,-0.17006865,0.864956148,NA
AL078599.1,0,NA,NA,NA,NA,NA
RPL26P20,0,NA,NA,NA,NA,NA
BMPR1AP1,0,NA,NA,NA,NA,NA
AL356473.1,0,NA,NA,NA,NA,NA
AL137784.1,0,NA,NA,NA,NA,NA
AL357139.1,0,NA,NA,NA,NA,NA
FO393415.1,0,NA,NA,NA,NA,NA
RPSAP45,0,NA,NA,NA,NA,NA
RPL21P67,0,NA,NA,NA,NA,NA
ATP5PBP6,0,NA,NA,NA,NA,NA
AL133260.1,0,NA,NA,NA,NA,NA
CYCSP17,0,NA,NA,NA,NA,NA
AL606845.1,0,NA,NA,NA,NA,NA
HIGD1AP16,0,NA,NA,NA,NA,NA
