,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HES5,1406.628465,-2.962919214,0.103966141,-28.49888624,1.21E-178,8.61E-175
GPC5,10309.56519,-3.534759344,0.229191076,-15.42276169,1.15E-53,5.12E-51
ZNF736P9Y,107.0362764,-7.33634956,1.250557253,-5.866464363,4.45E-09,1.36E-07
APOE,959.7663623,-1.879907725,0.109257658,-17.20618735,2.39E-66,1.50E-63
LRRC3B,1004.427726,-3.445727885,0.116791776,-29.50317216,2.62E-191,2.80E-187
LINC01965,1757.635142,-2.794061494,0.113401207,-24.63872808,4.86E-134,1.73E-130
MIR3681HG,8119.496882,-1.359699888,0.073482932,-18.503615,1.93E-76,1.59E-73
GPNMB,1420.175381,-4.136794117,0.543346551,-7.613546289,2.67E-14,1.45E-12
AL356737.2,248.3386451,-3.266879712,0.241229774,-13.54260567,8.76E-42,2.79E-39
SEMA6D,2694.050282,-2.635606532,0.199397728,-13.21783632,6.92E-40,1.97E-37
FOXG1-AS1,257.3384919,-4.876640246,0.268844235,-18.13927775,1.56E-73,1.23E-70
AC117464.1,1672.122423,-2.096470207,0.261028723,-8.031569034,9.62E-16,6.17E-14
AC124854.1,1368.775273,-1.127709055,0.269153184,-4.189841031,2.79E-05,0.000425803
L3MBTL4,4349.265534,-2.157619822,0.091396624,-23.6072157,3.25E-123,9.91E-120
NELL1,6686.975098,-3.546533796,0.331568778,-10.69622362,1.06E-26,1.53E-24
PTH2R,802.3427028,-2.996431155,0.129984626,-23.05219666,1.40E-117,3.32E-114
NDST4,225.5078966,-1.239634589,0.559507044,-2.215583525,0.026720038,0.146098106
LDB2,1885.035243,-3.570593965,0.264870933,-13.4805051,2.04E-41,6.40E-39
KCNB2,702.5646847,-3.114283098,0.413967797,-7.523008114,5.35E-14,2.82E-12
CNTN5,6490.662499,-3.315101454,0.091906102,-36.07052603,6.58E-285,1.40E-280
EBF1,1391.259321,4.619594618,0.452232605,10.21508526,1.70E-24,2.14E-22
PAX3,1567.43157,5.546297942,0.798444475,6.946379007,3.75E-12,1.68E-10
AC092958.1,548.9387978,3.262036993,0.142149409,22.94794627,1.54E-116,3.30E-113
CRNDE,1453.498996,4.235714354,0.513620495,8.246778301,1.63E-16,1.13E-14
MAML3,754.5436301,2.868824921,0.127695663,22.46611082,8.91E-112,1.73E-108
AP001924.1,251.5765786,3.682426842,0.633495318,5.812871437,6.14E-09,1.83E-07
BMPR1B,1015.142711,3.192606214,0.113468356,28.13653361,3.50E-174,1.50E-170
RNF182,718.1841159,3.499304401,0.150089335,23.31481054,3.14E-120,8.37E-117
AC093765.2,1157.042386,2.986548644,0.321047715,9.302507081,1.37E-20,1.38E-18
SEMA3D,1893.63522,3.627573804,0.231157786,15.69306346,1.69E-55,8.13E-53
PCDH9-AS4,644.4997834,0.270450161,0.147459154,1.834068313,0.066643854,0.278890753
FMO3,429.0450443,1.608224378,0.17686207,9.093099385,9.63E-20,8.94E-18
AC096576.3,658.3541025,0.551252857,0.350303987,1.573641401,0.115570376,0.399126384
LRRC7-AS1,173.9434409,-0.341888844,0.672274121,-0.508555712,0.611063679,0.88669543
LRRTM4-AS1,423.7403269,0.468470164,0.503040086,0.931277999,0.35170978,0.729058663
AC097537.1,404.0173304,0.185190097,0.46232778,0.400560177,0.68874397,0.916087305
AC027251.1,342.4382301,0.287733722,0.411619375,0.699028617,0.484534147,0.828946313
AC096576.2,851.4454243,0.581046446,0.354524767,1.638944583,0.101224802,0.368004024
PDE4B-AS1,163.6552682,0.713240794,0.462138387,1.543348951,0.122746133,0.414360364
AC091906.1,386.3308656,0.483001048,0.175238065,2.75625646,0.005846713,0.045314945
RPS6P12,0,NA,NA,NA,NA,NA
TSPY19P,0,NA,NA,NA,NA,NA
AL161449.1,0,NA,NA,NA,NA,NA
MRPL50P1,0,NA,NA,NA,NA,NA
AC125807.1,0,NA,NA,NA,NA,NA
AL513523.3,0.513072338,0.088186765,3.833030773,0.023007059,0.981644642,NA
GNG5P5,0,NA,NA,NA,NA,NA
MTND1P26,0,NA,NA,NA,NA,NA
AL359845.1,0,NA,NA,NA,NA,NA
MCIDAS,0,NA,NA,NA,NA,NA
AL021068.1,0,NA,NA,NA,NA,NA
OR2AT2P,0,NA,NA,NA,NA,NA
AC016894.1,0,NA,NA,NA,NA,NA
LINC00380,0,NA,NA,NA,NA,NA
NUS1P3,0,NA,NA,NA,NA,NA
AC008134.1,0,NA,NA,NA,NA,NA
NECAP1P2,2.599927545,-0.276507239,1.475528389,-0.187395404,0.851350626,NA
RAD1P1,0,NA,NA,NA,NA,NA
OR10G8,0,NA,NA,NA,NA,NA
TLR12P,0,NA,NA,NA,NA,NA
AC005041.2,2.647288749,-1.00665634,1.50372955,-0.669439754,0.503215,NA
NDUFB1P2,0,NA,NA,NA,NA,NA
RPL12P43,0,NA,NA,NA,NA,NA
GAPDHP19,0,NA,NA,NA,NA,NA
SSBP3P1,0,NA,NA,NA,NA,NA
AL024497.2,0,NA,NA,NA,NA,NA
CSNK1G2P1,0,NA,NA,NA,NA,NA
AC016876.2,76.57293913,0.125296311,0.285684401,0.438582962,0.660963744,0.905754979
ZNF114P1,0,NA,NA,NA,NA,NA
CHEK2P5,0,NA,NA,NA,NA,NA
PTGES3P5,0,NA,NA,NA,NA,NA
API5P1,0,NA,NA,NA,NA,NA
RPL22P7,0,NA,NA,NA,NA,NA
AL354751.1,16.78818592,-0.82990886,0.619709857,-1.339189382,0.180509028,0.519580846
LINC02093,0,NA,NA,NA,NA,NA
RPS19P6,0,NA,NA,NA,NA,NA
AC053503.3,0,NA,NA,NA,NA,NA
AC002076.1,0,NA,NA,NA,NA,NA
RPS3AP1,0,NA,NA,NA,NA,NA
GPR50-AS1,0,NA,NA,NA,NA,NA
AL161937.1,0.4940073,-0.81512894,3.587177599,-0.227234063,0.820241742,NA
AL139339.1,1.15585893,-1.888595803,2.342992542,-0.806061381,0.420207458,NA
MTCO1P8,0,NA,NA,NA,NA,NA
AL355601.1,0.402571655,0.144803591,4.072815353,0.035553684,0.97163824,NA
PRDX3P3,0,NA,NA,NA,NA,NA
PRUNEP1,0,NA,NA,NA,NA,NA
UPF3AP3,0,NA,NA,NA,NA,NA
TUBB8P11,0.125416704,1.079133603,4.06730708,0.26531894,0.790763775,NA
AL713923.1,0.353837236,-1.468741107,4.037340726,-0.363789238,0.716015399,NA
AC022616.2,0,NA,NA,NA,NA,NA
AC009965.1,0,NA,NA,NA,NA,NA
AF015262.1,0.193827817,-0.686987405,4.069415954,-0.1688172,0.865940429,NA
AL138799.2,0,NA,NA,NA,NA,NA
AC068058.1,0,NA,NA,NA,NA,NA
LINC00642,5.077059284,0.322582784,1.146153477,0.281448157,0.778366686,NA
AL357373.1,0,NA,NA,NA,NA,NA
AC009263.1,0,NA,NA,NA,NA,NA
AL390763.1,0.374887144,0.212401231,4.077245162,0.0520943,0.958453555,NA
OTX2P1,0,NA,NA,NA,NA,NA
AL049651.2,0,NA,NA,NA,NA,NA
AL606970.3,0.125416704,1.079133603,4.06730708,0.26531894,0.790763775,NA
AL162151.2,0,NA,NA,NA,NA,NA
KCNJ6-AS1,0,NA,NA,NA,NA,NA
AGPAT5P1,0,NA,NA,NA,NA,NA
GRPEL2P1,0,NA,NA,NA,NA,NA
AC013429.1,0,NA,NA,NA,NA,NA
ACTBP13,0,NA,NA,NA,NA,NA
OR6C64P,0,NA,NA,NA,NA,NA
MTCYBP5,0,NA,NA,NA,NA,NA
AL445123.1,0,NA,NA,NA,NA,NA
AL353801.2,0,NA,NA,NA,NA,NA
AC092447.6,0,NA,NA,NA,NA,NA
FYTTD1P1,0,NA,NA,NA,NA,NA
HNRNPA1P51,0,NA,NA,NA,NA,NA
RPS12P2,0,NA,NA,NA,NA,NA
ST13P18,0,NA,NA,NA,NA,NA
RPL9P2,0.387655633,-1.094732547,4.04872142,-0.270389694,0.786860468,NA
MRPS10P2,0,NA,NA,NA,NA,NA
AL604028.2,0,NA,NA,NA,NA,NA
CYCSP53,0,NA,NA,NA,NA,NA
OSTCP5,0,NA,NA,NA,NA,NA
CNOT7P1,0,NA,NA,NA,NA,NA
AP000705.2,0,NA,NA,NA,NA,NA
GLUD1P9,0,NA,NA,NA,NA,NA
AP000346.2,0,NA,NA,NA,NA,NA
AC009945.1,0,NA,NA,NA,NA,NA
AC003080.1,0,NA,NA,NA,NA,NA
ELK1P1,0,NA,NA,NA,NA,NA
AC026462.1,0,NA,NA,NA,NA,NA
PPIAP27,0,NA,NA,NA,NA,NA
SAPCD2P4,0,NA,NA,NA,NA,NA
SLC25A18P1,0,NA,NA,NA,NA,NA
PTCD2P2,0,NA,NA,NA,NA,NA
SOD2P1,0,NA,NA,NA,NA,NA
AC008550.1,0,NA,NA,NA,NA,NA
AL356867.1,0,NA,NA,NA,NA,NA
AP000936.3,0,NA,NA,NA,NA,NA
AL365396.1,0,NA,NA,NA,NA,NA
AL451069.3,0,NA,NA,NA,NA,NA
RPL36P20,0,NA,NA,NA,NA,NA
AC099560.2,0,NA,NA,NA,NA,NA
OR1AA1P,0,NA,NA,NA,NA,NA
AC123595.1,0,NA,NA,NA,NA,NA
BACH1-IT3,0,NA,NA,NA,NA,NA
SGO1P2,0.119120156,-0.692228862,4.070290804,-0.17006865,0.864956148,NA
AL583859.1,0,NA,NA,NA,NA,NA
SDR42E1P3,0,NA,NA,NA,NA,NA
MED15P7,0,NA,NA,NA,NA,NA
RCC2P1,0,NA,NA,NA,NA,NA
OR7E162P,0,NA,NA,NA,NA,NA
KRT18P2,0,NA,NA,NA,NA,NA
AC105272.1,0,NA,NA,NA,NA,NA
BX276092.5,0,NA,NA,NA,NA,NA
AC068489.1,3.253217297,0.283547636,1.436707955,0.197359272,0.843546399,NA
AL606490.7,0,NA,NA,NA,NA,NA
BX005266.3,0,NA,NA,NA,NA,NA
KBTBD13,0,NA,NA,NA,NA,NA
AC006960.1,0.119120156,-0.692228862,4.070290804,-0.17006865,0.864956148,NA
COX6CP12,0,NA,NA,NA,NA,NA
SLC25A1P2,0,NA,NA,NA,NA,NA
MTCO2P18,0,NA,NA,NA,NA,NA
AC117945.1,0,NA,NA,NA,NA,NA
OR7E46P,0,NA,NA,NA,NA,NA
ALDH7A1P4,0,NA,NA,NA,NA,NA
AL772337.3,0,NA,NA,NA,NA,NA
AC245884.2,0.660313267,1.033648907,3.186983173,0.324334598,0.745684729,NA
AC007283.1,0,NA,NA,NA,NA,NA
AL022724.2,0,NA,NA,NA,NA,NA
AC073188.5,0,NA,NA,NA,NA,NA
TXNP3,0,NA,NA,NA,NA,NA
AC007278.1,0,NA,NA,NA,NA,NA
AL606490.6,0,NA,NA,NA,NA,NA
PPIAP34,0,NA,NA,NA,NA,NA
AC134915.1,0,NA,NA,NA,NA,NA
RBMY2XP,0,NA,NA,NA,NA,NA
AC004129.2,0,NA,NA,NA,NA,NA
AC245102.2,0,NA,NA,NA,NA,NA
RBMY1A1,0,NA,NA,NA,NA,NA
RPL5P7,0,NA,NA,NA,NA,NA
CICP13,0,NA,NA,NA,NA,NA
SLC25A5P4,0.368753258,0.207459319,4.020043865,0.051606233,0.958842453,NA
UBE2WP1,0,NA,NA,NA,NA,NA
AL138930.1,0.834639784,-1.812213908,2.893904382,-0.626217618,0.531172213,NA
MRPS21P1,0,NA,NA,NA,NA,NA
ATP5F1AP8,0,NA,NA,NA,NA,NA
AC092421.1,0,NA,NA,NA,NA,NA
HDAC1P1,0,NA,NA,NA,NA,NA
AC008175.1,0,NA,NA,NA,NA,NA
UBE2V1P7,0,NA,NA,NA,NA,NA
BCRP5,0,NA,NA,NA,NA,NA
SLC25A5P2,0,NA,NA,NA,NA,NA
AL627082.1,0,NA,NA,NA,NA,NA
OR7E157P,0,NA,NA,NA,NA,NA
AL157407.1,0,NA,NA,NA,NA,NA
AC062015.1,3.069510211,0.215903445,1.35551568,0.159277719,0.873450075,NA
AC245052.3,0,NA,NA,NA,NA,NA
AL929288.2,0,NA,NA,NA,NA,NA
FNDC1-IT1,0,NA,NA,NA,NA,NA
AL031667.2,0,NA,NA,NA,NA,NA
AL357632.1,0,NA,NA,NA,NA,NA
RPL7L1P3,0,NA,NA,NA,NA,NA
MTND5P23,0,NA,NA,NA,NA,NA
AC006335.1,0,NA,NA,NA,NA,NA
AL357497.1,0.896578955,-0.585547364,2.495729599,-0.234619714,0.814503907,NA
MTND6P12,0,NA,NA,NA,NA,NA
Z82185.1,0,NA,NA,NA,NA,NA
AC244034.1,0,NA,NA,NA,NA,NA
AL731661.1,0,NA,NA,NA,NA,NA
LINC01849,0,NA,NA,NA,NA,NA
RPS24P13,0.119120156,-0.692228862,4.070290804,-0.17006865,0.864956148,NA
SNRPCP19,0,NA,NA,NA,NA,NA
MTCO3P1,0,NA,NA,NA,NA,NA
USP9YP30,0,NA,NA,NA,NA,NA
LINC01883,1.069356864,-2.043704915,2.500027972,-0.817472819,0.413658276,NA
Z82249.1,0,NA,NA,NA,NA,NA
GEMIN2P1,0,NA,NA,NA,NA,NA
AL137077.1,0,NA,NA,NA,NA,NA
AP001626.1,6.414339038,0.024217756,1.006302962,0.024066068,0.980799909,NA
HMGN1P30,0,NA,NA,NA,NA,NA
AL450468.1,0,NA,NA,NA,NA,NA
ANKRD65,129.0432777,0.168215283,0.221496602,0.759448595,0.447584253,0.806464515
AL138731.1,2.53300602,-0.406289311,3.958566794,-0.102635457,0.918252301,NA
SETP9,0,NA,NA,NA,NA,NA
AL078581.3,0.589764868,0.367547777,3.626000732,0.101364507,0.91926111,NA
MTND1P31,0,NA,NA,NA,NA,NA
RPL39P3,0,NA,NA,NA,NA,NA
RPL26P37,0,NA,NA,NA,NA,NA
AC245036.2,0,NA,NA,NA,NA,NA
SRP14P3,0,NA,NA,NA,NA,NA
CDK5P1,0,NA,NA,NA,NA,NA
AC103563.8,0.193827817,-0.686987405,4.069415954,-0.1688172,0.865940429,NA
TBC1D3P3,0,NA,NA,NA,NA,NA
TATDN2P3,0,NA,NA,NA,NA,NA
AL135938.1,0,NA,NA,NA,NA,NA
OR6E1P,0,NA,NA,NA,NA,NA
FAM83C-AS1,7.651635461,0.25119755,0.886427294,0.283382012,0.776884016,NA
DNAJC17P1,0,NA,NA,NA,NA,NA
AL008629.1,0,NA,NA,NA,NA,NA
AC096644.2,0,NA,NA,NA,NA,NA
FP325330.1,1.792985003,-2.084174879,1.902481699,-1.095503247,0.273296224,NA
RCBTB2P1,0,NA,NA,NA,NA,NA
ADI1P1,0,NA,NA,NA,NA,NA
IFNA12P,0,NA,NA,NA,NA,NA
AC107421.1,0,NA,NA,NA,NA,NA
Z97192.3,0,NA,NA,NA,NA,NA
AL161932.2,0,NA,NA,NA,NA,NA
AL121974.1,5.000044379,-0.734073821,1.101039451,-0.666709826,0.504957501,NA
KRT8P17,0,NA,NA,NA,NA,NA
AC128709.2,0.862760558,-0.204632662,2.7022659,-0.075726324,0.939636833,NA
AC068286.1,0,NA,NA,NA,NA,NA
AC013474.1,0,NA,NA,NA,NA,NA
AL627224.1,0,NA,NA,NA,NA,NA
COX6CP17,0,NA,NA,NA,NA,NA
AC128677.1,0,NA,NA,NA,NA,NA
HMGB3P23,0,NA,NA,NA,NA,NA
AC096659.1,0,NA,NA,NA,NA,NA
AC074389.3,0,NA,NA,NA,NA,NA
FTH1P2,0,NA,NA,NA,NA,NA
AL096803.2,0.193827817,-0.686987405,4.069415954,-0.1688172,0.865940429,NA
TMEM256P1,0,NA,NA,NA,NA,NA
AC113607.1,0.119120156,-0.692228862,4.070290804,-0.17006865,0.864956148,NA
MORF4,0,NA,NA,NA,NA,NA
FAM197Y2,0,NA,NA,NA,NA,NA
AC090505.1,0,NA,NA,NA,NA,NA
RPL26P29,0,NA,NA,NA,NA,NA
RNF224,0,NA,NA,NA,NA,NA
AC108448.1,0,NA,NA,NA,NA,NA
AL161932.1,0,NA,NA,NA,NA,NA
AL357520.1,0,NA,NA,NA,NA,NA
AL353705.4,0,NA,NA,NA,NA,NA
MRPS33P4,0,NA,NA,NA,NA,NA
IFNA17,0,NA,NA,NA,NA,NA
PHBP13,0,NA,NA,NA,NA,NA
RPS26P30,0,NA,NA,NA,NA,NA
BX664727.2,0,NA,NA,NA,NA,NA
MAPRE1P3,0,NA,NA,NA,NA,NA
NUTF2P4,0,NA,NA,NA,NA,NA
AL590369.1,0,NA,NA,NA,NA,NA
MTND4LP16,0,NA,NA,NA,NA,NA
RPEP5,4.717601611,-0.788569284,1.126976678,-0.699721032,0.484101539,NA
AL022237.1,0,NA,NA,NA,NA,NA
WBP1P2,0,NA,NA,NA,NA,NA
KRT18P15,0,NA,NA,NA,NA,NA
EIF5AP4,0,NA,NA,NA,NA,NA
USP9YP26,0,NA,NA,NA,NA,NA
AL109913.1,0,NA,NA,NA,NA,NA
LINC02676,0,NA,NA,NA,NA,NA
LINC02817,0.717494253,-1.732804589,2.836127685,-0.610975521,0.541215786,NA
MGAT4FP,0,NA,NA,NA,NA,NA
E2F6P1,0,NA,NA,NA,NA,NA
ELL2P3,0,NA,NA,NA,NA,NA
AC245047.5,0,NA,NA,NA,NA,NA
HSPA8P3,0,NA,NA,NA,NA,NA
AC017007.2,0,NA,NA,NA,NA,NA
RPL7P13,0,NA,NA,NA,NA,NA
CDC42P2,0,NA,NA,NA,NA,NA
AL035258.1,0.387655633,-1.094732547,4.04872142,-0.270389694,0.786860468,NA
TSEN15P3,0,NA,NA,NA,NA,NA
HMGN1P18,0,NA,NA,NA,NA,NA
MARK2P15,0,NA,NA,NA,NA,NA
AC009969.1,0,NA,NA,NA,NA,NA
MTND5P29,0,NA,NA,NA,NA,NA
AC012668.2,0.238240312,-1.101942563,4.049165567,-0.272140654,0.785513872,NA
AC006450.2,0.312947973,-1.481493515,4.040477335,-0.366662993,0.713870414,NA
MTND2P18,0,NA,NA,NA,NA,NA
SDHCP3,0,NA,NA,NA,NA,NA
RBMY2OP,0.614490425,0.413723923,3.481573436,0.118832456,0.905408095,NA
FABP5P13,0,NA,NA,NA,NA,NA
FABP5P13,0,NA,NA,NA,NA,NA
AL357558.2,0,NA,NA,NA,NA,NA
LINC02658,0,NA,NA,NA,NA,NA
AL117339.2,0,NA,NA,NA,NA,NA
LINC01827,0.160009419,-0.671318994,4.06669304,-0.165077371,0.868883084,NA
AL157387.1,0,NA,NA,NA,NA,NA
IL6RP1,0,NA,NA,NA,NA,NA
AC096644.1,0,NA,NA,NA,NA,NA
ADH5P5,0,NA,NA,NA,NA,NA
AL021392.1,1.879822639,0.201865086,1.69486304,0.11910407,0.905192907,NA
AL358176.5,0,NA,NA,NA,NA,NA
AC092660.1,0,NA,NA,NA,NA,NA
HSPE1P1,0,NA,NA,NA,NA,NA
EIF3EP1,0,NA,NA,NA,NA,NA
Z82196.1,0,NA,NA,NA,NA,NA
AL139327.2,0,NA,NA,NA,NA,NA
OR7E62P,0,NA,NA,NA,NA,NA
CHEK2P3,0,NA,NA,NA,NA,NA
MTND6P13,0,NA,NA,NA,NA,NA
AC133104.1,0,NA,NA,NA,NA,NA
APOC2,27.17973086,-0.15135208,0.475884949,-0.318043428,0.750451995,0.937992028
AL593851.1,0,NA,NA,NA,NA,NA
MTND2P3,0,NA,NA,NA,NA,NA
CFL1P8,0,NA,NA,NA,NA,NA
MTCO2P8,0,NA,NA,NA,NA,NA
KCNH1-IT1,0,NA,NA,NA,NA,NA
AC133435.1,0,NA,NA,NA,NA,NA
ERI3-IT1,0,NA,NA,NA,NA,NA
LINC01851,0.312947973,-1.481493515,4.040477335,-0.366662993,0.713870414,NA
OR6C66P,0,NA,NA,NA,NA,NA
TWIST2,4.09286884,0.495604291,1.184718069,0.418330997,0.67570513,NA
LINC00462,0,NA,NA,NA,NA,NA
KRT8P15,0,NA,NA,NA,NA,NA
DDX11L10,0,NA,NA,NA,NA,NA
PGAM1P11,0,NA,NA,NA,NA,NA
AL035045.1,1.057788681,-0.543069849,2.29409672,-0.236724914,0.812870205,NA
C4A-AS1,0,NA,NA,NA,NA,NA
Z82198.3,0,NA,NA,NA,NA,NA
GOT2P5,0,NA,NA,NA,NA,NA
KRTAP13-5P,0,NA,NA,NA,NA,NA
AC006328.1,0,NA,NA,NA,NA,NA
ARHGEF7-IT1,0,NA,NA,NA,NA,NA
AL358934.1,0,NA,NA,NA,NA,NA
KRT8P39,0,NA,NA,NA,NA,NA
MKNK2P1,0,NA,NA,NA,NA,NA
AP000943.1,0,NA,NA,NA,NA,NA
RPL7AP61,0,NA,NA,NA,NA,NA
TEDDM2P,0,NA,NA,NA,NA,NA
AC011294.1,3.597999317,-0.999565756,1.366453907,-0.731503456,0.464471694,NA
CHTF8P1,0,NA,NA,NA,NA,NA
OR52E7P,0,NA,NA,NA,NA,NA
EIF3KP2,0,NA,NA,NA,NA,NA
PRYP5,0,NA,NA,NA,NA,NA
CYCSP44,0,NA,NA,NA,NA,NA
CYCSP35,0,NA,NA,NA,NA,NA
MTCYBP8,0,NA,NA,NA,NA,NA
LSM1P1,0,NA,NA,NA,NA,NA
AL591438.1,0,NA,NA,NA,NA,NA
CYCSP33,0,NA,NA,NA,NA,NA
OR52T1P,0,NA,NA,NA,NA,NA
NENFP1,0,NA,NA,NA,NA,NA
AC010095.1,0,NA,NA,NA,NA,NA
MTND3P10,0,NA,NA,NA,NA,NA
AC027673.1,0,NA,NA,NA,NA,NA
SLC26A4-AS1,23.56629758,-3.376174911,0.644188231,-5.240975774,1.60E-07,3.85E-06
RPL22P11,0,NA,NA,NA,NA,NA
AL512353.2,0,NA,NA,NA,NA,NA
MTND4P28,0,NA,NA,NA,NA,NA
RPL37P13,0,NA,NA,NA,NA,NA
EIF4EBP2P1,0,NA,NA,NA,NA,NA
MTFR2P1,0,NA,NA,NA,NA,NA
RPS29P29,0.742703422,-0.32049662,3.029597107,-0.105788529,0.915750139,NA
GOT2P3,0,NA,NA,NA,NA,NA
AC245517.3,0,NA,NA,NA,NA,NA
AL513321.1,0,NA,NA,NA,NA,NA
IGHV3OR16-10,0,NA,NA,NA,NA,NA
AL161447.1,0,NA,NA,NA,NA,NA
PRR23C,0,NA,NA,NA,NA,NA
TTTY18,0.125416704,1.079133603,4.06730708,0.26531894,0.790763775,NA
AL354714.4,0,NA,NA,NA,NA,NA
CICP1,0,NA,NA,NA,NA,NA
CICP7,0,NA,NA,NA,NA,NA
IGHD4-4,0,NA,NA,NA,NA,NA
AL445430.1,0,NA,NA,NA,NA,NA
NDUFA5P4,0,NA,NA,NA,NA,NA
CALM2P4,0,NA,NA,NA,NA,NA
AL161722.1,0,NA,NA,NA,NA,NA
AL451062.2,0,NA,NA,NA,NA,NA
FDPSP6,0,NA,NA,NA,NA,NA
DDX39BP1,0,NA,NA,NA,NA,NA
OR6L1P,0,NA,NA,NA,NA,NA
PIEZO1P1,0,NA,NA,NA,NA,NA
BX842559.2,0,NA,NA,NA,NA,NA
AC009362.1,0,NA,NA,NA,NA,NA
EBAG9P1,0,NA,NA,NA,NA,NA
LINC00460,1.635924293,-3.318619257,2.270145367,-1.461853195,0.143781443,NA
DEFA10P,0,NA,NA,NA,NA,NA
HCG21,0,NA,NA,NA,NA,NA
RANP8,0,NA,NA,NA,NA,NA
ACTR1AP1,0,NA,NA,NA,NA,NA
AL137076.1,0,NA,NA,NA,NA,NA
AL117382.3,0,NA,NA,NA,NA,NA
MTND4P20,0,NA,NA,NA,NA,NA
USP9YP34,0,NA,NA,NA,NA,NA
AL139002.1,0,NA,NA,NA,NA,NA
ZNF90P2,0,NA,NA,NA,NA,NA
RPS2P48,0,NA,NA,NA,NA,NA
MTCO3P8,0,NA,NA,NA,NA,NA
PRKAR1AP1,0,NA,NA,NA,NA,NA
TARDBPP1,0,NA,NA,NA,NA,NA
FANK1-AS1,0,NA,NA,NA,NA,NA
AL359962.1,0,NA,NA,NA,NA,NA
OR5H15,0,NA,NA,NA,NA,NA
AK4P3,0,NA,NA,NA,NA,NA
RPL30P15,0,NA,NA,NA,NA,NA
LINC00028,0,NA,NA,NA,NA,NA
RPS7P9,0,NA,NA,NA,NA,NA
HMGA1P5,0,NA,NA,NA,NA,NA
DSCR10,0,NA,NA,NA,NA,NA
RPL31P45,0,NA,NA,NA,NA,NA
PPIAP32,0,NA,NA,NA,NA,NA
USP32P2,0,NA,NA,NA,NA,NA
RPS16P3,0,NA,NA,NA,NA,NA
RNFT1P2,0,NA,NA,NA,NA,NA
RPL36AP14,0,NA,NA,NA,NA,NA
AC245056.1,0,NA,NA,NA,NA,NA
UBE2FP3,0,NA,NA,NA,NA,NA
TLR8-AS1,0.869057106,1.485179836,2.658679154,0.558615669,0.576424044,NA
ATP6V1G1P4,0,NA,NA,NA,NA,NA
ERP29P1,0,NA,NA,NA,NA,NA
AL356124.2,0,NA,NA,NA,NA,NA
AL035660.1,0,NA,NA,NA,NA,NA
RPS25P3,0,NA,NA,NA,NA,NA
H2AZP6,0,NA,NA,NA,NA,NA
IFITM3P7,0,NA,NA,NA,NA,NA
BX664718.1,0,NA,NA,NA,NA,NA
PPIAP38,0,NA,NA,NA,NA,NA
EIF4A1P1,0,NA,NA,NA,NA,NA
AC017074.2,0.402571655,0.144803591,4.072815353,0.035553684,0.97163824,NA
LINC01683,0,NA,NA,NA,NA,NA
AC093579.1,0,NA,NA,NA,NA,NA
AL450471.1,0,NA,NA,NA,NA,NA
RAD1P2,0,NA,NA,NA,NA,NA
PAXBP1P1,0,NA,NA,NA,NA,NA
SYNJ2-IT1,0,NA,NA,NA,NA,NA
OR5B1P,0,NA,NA,NA,NA,NA
HNRNPLP1,0,NA,NA,NA,NA,NA
AC005162.1,0,NA,NA,NA,NA,NA
RPL7P35,0,NA,NA,NA,NA,NA
HIGD1AP4,0,NA,NA,NA,NA,NA
AC009963.2,0,NA,NA,NA,NA,NA
U40455.1,0,NA,NA,NA,NA,NA
LINC01077,1.323550843,-1.044338282,2.217530613,-0.470946501,0.63767894,NA
AC069285.3,0.402571655,0.144803591,4.072815353,0.035553684,0.97163824,NA
KRT18P67,0,NA,NA,NA,NA,NA
PPIAP65,0,NA,NA,NA,NA,NA
AGGF1P2,0.402571655,0.144803591,4.072815353,0.035553684,0.97163824,NA
XXYLT1-AS1,0,NA,NA,NA,NA,NA
HMGA1P6,0,NA,NA,NA,NA,NA
OR4C14P,0,NA,NA,NA,NA,NA
CYP2AB1P,1.452688089,1.870626406,2.18586601,0.855782741,0.392117963,NA
PPP6R2P1,0,NA,NA,NA,NA,NA
AC013262.1,0,NA,NA,NA,NA,NA
RPL17P11,0,NA,NA,NA,NA,NA
AL691517.1,0,NA,NA,NA,NA,NA
AC103563.6,0,NA,NA,NA,NA,NA
PMS2P9,0,NA,NA,NA,NA,NA
MTATP6P14,0,NA,NA,NA,NA,NA
AL513128.1,0,NA,NA,NA,NA,NA
LINC01783,0.193827817,-0.686987405,4.069415954,-0.1688172,0.865940429,NA
SRSF3P6,0,NA,NA,NA,NA,NA
AP003072.1,0,NA,NA,NA,NA,NA
CICP2,0,NA,NA,NA,NA,NA
RPL35AP,0.160009419,-0.671318994,4.06669304,-0.165077371,0.868883084,NA
AL596275.1,0.119120156,-0.692228862,4.070290804,-0.17006865,0.864956148,NA
ELOCP10,0,NA,NA,NA,NA,NA
AC064862.3,0,NA,NA,NA,NA,NA
AL356299.1,0,NA,NA,NA,NA,NA
RPS15AP7,0,NA,NA,NA,NA,NA
AC011816.1,0,NA,NA,NA,NA,NA
MTND4P11,0,NA,NA,NA,NA,NA
RPL7P36,0,NA,NA,NA,NA,NA
AC112492.5,0,NA,NA,NA,NA,NA
TSPY25P,0,NA,NA,NA,NA,NA
LINC02433,0.353837236,-1.468741107,4.037340726,-0.363789238,0.716015399,NA
AL138878.2,0,NA,NA,NA,NA,NA
AL606534.3,0,NA,NA,NA,NA,NA
